state,year,total_budget_crore,health_allocation_crore,health_allocation_pct,education_allocation_crore,education_allocation_pct,agriculture_allocation_crore,agriculture_allocation_pct,infrastructure_allocation_crore,infrastructure_allocation_pct,rural_dev_allocation_crore,rural_dev_allocation_pct,defence_allocation_crore,defence_allocation_pct,social_welfare_allocation_crore,social_welfare_allocation_pct,water_allocation_crore,water_allocation_pct,energy_allocation_crore,energy_allocation_pct,urban_allocation_crore,urban_allocation_pct,admin_allocation_crore,admin_allocation_pct
Andhra Pradesh,2006,84813,7930.02,9.35,16156.88,19.05,8879.92,10.47,11458.24,13.51,6437.31,7.59,3350.11,3.95,7438.1,8.77,2926.05,3.45,7701.02,9.08,3434.93,4.05,9100.43,10.73
Andhra Pradesh,2007,98209,9604.84,9.78,15192.93,15.47,10704.78,10.9,16165.2,16.46,10989.59,11.19,2759.67,2.81,4645.29,4.73,3898.9,3.97,7061.23,7.19,7188.9,7.32,9997.68,10.18
Andhra Pradesh,2008,100966,8864.81,8.78,17426.73,17.26,12257.27,12.14,13741.47,13.61,10076.41,9.98,1777.0,1.76,7734.0,7.66,5977.19,5.92,6512.31,6.45,7027.23,6.96,9571.58,9.48
Andhra Pradesh,2009,117855,12268.71,10.41,24065.99,20.42,10489.09,8.9,14425.45,12.24,11761.93,9.98,4490.28,3.81,11455.51,9.72,2887.45,2.45,5845.61,4.96,7566.29,6.42,12575.13,10.67
Andhra Pradesh,2010,130852,13582.44,10.38,22768.25,17.4,9107.3,6.96,20936.32,16.0,14995.64,11.46,3729.28,2.85,11959.87,9.14,7537.08,5.76,6699.62,5.12,9892.41,7.56,9643.79,7.37
Andhra Pradesh,2011,124619,8611.17,6.91,23440.83,18.81,13957.33,11.2,22331.72,17.92,9109.65,7.31,1931.59,1.55,12997.76,10.43,6006.64,4.82,7726.38,6.2,10355.84,8.31,8162.54,6.55
Andhra Pradesh,2012,137363,10837.94,7.89,22815.99,16.61,8969.8,6.53,25563.25,18.61,16840.7,12.26,5370.89,3.91,8475.3,6.17,5892.87,4.29,9519.26,6.93,9478.05,6.9,13598.94,9.9
Andhra Pradesh,2013,146854,10955.31,7.46,31441.44,21.41,11381.18,7.75,19722.49,13.43,13216.86,9.0,3039.88,2.07,12218.25,8.32,6623.12,4.51,14186.1,9.66,7445.5,5.07,16638.56,11.33
Andhra Pradesh,2014,166694,12602.07,7.56,30855.06,18.51,19536.54,11.72,27821.23,16.69,10468.38,6.28,5617.59,3.37,12918.78,7.75,9384.87,5.63,10251.68,6.15,12352.03,7.41,14885.77,8.93
Andhra Pradesh,2015,169542,15631.77,9.22,30500.61,17.99,18598.76,10.97,26295.96,15.51,15852.18,9.35,6730.82,3.97,13631.18,8.04,9002.68,5.31,12580.02,7.42,8104.11,4.78,12613.92,7.44
Andhra Pradesh,2016,192544,20525.19,10.66,27726.34,14.4,16655.06,8.65,32944.28,17.11,13863.17,7.2,3292.5,1.71,15788.61,8.2,11571.89,6.01,14421.55,7.49,15673.08,8.14,20082.34,10.43
Andhra Pradesh,2017,193677,19774.42,10.21,32053.54,16.55,22834.52,11.79,29961.83,15.47,14351.47,7.41,2885.79,1.49,18883.51,9.75,5190.54,2.68,16869.27,8.71,13809.17,7.13,17062.94,8.81
Andhra Pradesh,2018,242198,27537.91,11.37,48463.82,20.01,20829.03,8.6,39478.27,16.3,13974.82,5.77,7193.28,2.97,17268.72,7.13,11068.45,4.57,18431.27,7.61,14725.64,6.08,23202.57,9.58
Andhra Pradesh,2019,259196,19154.58,7.39,43622.69,16.83,17288.37,6.67,50309.94,19.41,26075.12,10.06,12519.17,4.83,17055.1,6.58,7309.33,2.82,24364.42,9.4,22161.26,8.55,19336.02,7.46
Andhra Pradesh,2020,251681,18121.03,7.2,57307.76,22.77,21720.07,8.63,36342.74,14.44,16711.62,6.64,11149.47,4.43,14245.14,5.66,10218.25,4.06,20335.82,8.08,18171.37,7.22,27332.56,10.86
Andhra Pradesh,2021,271816,31394.75,11.55,43708.01,16.08,27534.96,10.13,30633.66,11.27,25958.43,9.55,7746.76,2.85,30524.94,11.23,7311.85,2.69,19108.66,7.03,16635.14,6.12,31258.84,11.5
Andhra Pradesh,2022,320521,22500.57,7.02,64777.29,20.21,33879.07,10.57,60834.89,18.98,26122.46,8.15,8429.7,2.63,19038.95,5.94,9102.8,2.84,28430.21,8.87,18526.11,5.78,28846.89,9.0
Andhra Pradesh,2023,333222,37487.47,11.25,51682.73,15.51,46950.98,14.09,44451.81,13.34,25158.26,7.55,12029.31,3.61,19393.52,5.82,19226.91,5.77,21592.79,6.48,17260.9,5.18,38020.63,11.41
Andhra Pradesh,2024,338916,28536.73,8.42,85949.1,25.36,23147.96,6.83,68528.82,20.22,26367.66,7.78,6405.51,1.89,24198.6,7.14,11624.82,3.43,30604.11,9.03,14268.36,4.21,19352.1,5.71
Arunachal Pradesh,1995,5088,363.79,7.15,882.77,17.35,436.04,8.57,590.21,11.6,610.56,12.0,180.62,3.55,541.87,10.65,240.66,4.73,498.62,9.8,354.12,6.96,389.23,7.65
Arunachal Pradesh,1996,5184,538.62,10.39,638.15,12.31,642.82,12.4,916.53,17.68,466.56,9.0,145.15,2.8,541.21,10.44,133.75,2.58,363.4,7.01,282.53,5.45,515.29,9.94
Arunachal Pradesh,1997,5599,640.53,11.44,791.14,14.13,412.09,7.36,952.95,17.02,394.73,7.05,135.5,2.42,530.79,9.48,270.43,4.83,392.49,7.01,516.79,9.23,562.14,10.04
Arunachal Pradesh,1998,5986,530.96,8.87,808.71,13.51,732.69,12.24,1095.44,18.3,609.97,10.19,244.83,4.09,562.09,9.39,195.74,3.27,429.2,7.17,289.12,4.83,487.86,8.15
Arunachal Pradesh,1999,6465,550.82,8.52,960.7,14.86,700.16,10.83,1167.58,18.06,602.54,9.32,128.01,1.98,754.47,11.67,192.66,2.98,642.62,9.94,295.45,4.57,470.01,7.27
Arunachal Pradesh,2000,7405,729.39,9.85,1290.69,17.43,799.74,10.8,1096.68,14.81,584.25,7.89,119.96,1.62,506.5,6.84,351.0,4.74,614.62,8.3,567.96,7.67,742.72,10.03
Arunachal Pradesh,2001,8303,782.97,9.43,1406.53,16.94,970.62,11.69,1040.37,12.53,888.42,10.7,179.34,2.16,487.39,5.87,487.39,5.87,587.02,7.07,649.29,7.82,825.32,9.94
Arunachal Pradesh,2002,8720,831.89,9.54,1760.57,20.19,1041.17,11.94,1252.19,14.36,796.14,9.13,104.64,1.2,838.86,9.62,435.13,4.99,491.81,5.64,361.01,4.14,804.86,9.23
Arunachal Pradesh,2003,8529,688.29,8.07,1179.56,13.83,1252.06,14.68,1414.11,16.58,789.79,9.26,161.2,1.89,809.4,9.49,236.25,2.77,788.08,9.24,435.83,5.11,774.43,9.08
Arunachal Pradesh,2004,9307,737.11,7.92,1897.7,20.39,1221.08,13.12,1466.78,15.76,633.81,6.81,135.88,1.46,560.28,6.02,450.46,4.84,783.65,8.42,478.38,5.14,940.94,10.11
Arunachal Pradesh,2005,10363,927.49,8.95,1754.46,16.93,1420.77,13.71,1231.12,11.88,988.63,9.54,255.97,2.47,1021.79,9.86,478.77,4.62,922.31,8.9,439.39,4.24,923.34,8.91
Arunachal Pradesh,2006,11416,780.85,6.84,2205.57,19.32,1102.79,9.66,1549.15,13.57,1068.54,9.36,336.77,2.95,687.24,6.02,721.49,6.32,800.26,7.01,769.44,6.74,1393.89,12.21
Arunachal Pradesh,2007,12087,1240.13,10.26,2411.36,19.95,778.4,6.44,2105.56,17.42,737.31,6.1,149.88,1.24,1217.16,10.07,649.07,5.37,890.81,7.37,748.19,6.19,1157.93,9.58
Arunachal Pradesh,2008,12793,845.62,6.61,1750.08,13.68,1175.68,9.19,2330.88,18.22,1308.72,10.23,566.73,4.43,1391.88,10.88,365.88,2.86,1193.59,9.33,642.21,5.02,1221.73,9.55
Arunachal Pradesh,2009,14099,1261.86,8.95,2491.29,17.67,1394.39,9.89,2014.75,14.29,1103.95,7.83,477.96,3.39,864.27,6.13,666.88,4.73,1439.51,10.21,831.84,5.9,1553.71,11.02
Arunachal Pradesh,2010,16140,1814.14,11.24,2596.93,16.09,1237.94,7.67,1967.47,12.19,1644.67,10.19,673.04,4.17,1496.18,9.27,519.71,3.22,1455.83,9.02,1023.28,6.34,1709.23,10.59
Arunachal Pradesh,2011,17267,1453.88,8.42,3755.57,21.75,1847.57,10.7,2700.56,15.64,1676.63,9.71,740.75,4.29,1474.6,8.54,505.92,2.93,882.34,5.11,984.22,5.7,1244.95,7.21
Arunachal Pradesh,2012,16872,1132.11,6.71,3288.35,19.49,1580.91,9.37,2562.86,15.19,1164.17,6.9,772.74,4.58,966.77,5.73,1012.32,6.0,1636.58,9.7,1204.66,7.14,1550.54,9.19
Arunachal Pradesh,2013,18989,1783.07,9.39,4006.68,21.1,2620.48,13.8,2698.34,14.21,2103.98,11.08,689.3,3.63,1304.54,6.87,797.54,4.2,1069.08,5.63,755.76,3.98,1158.33,6.1
Arunachal Pradesh,2014,22373,2002.38,8.95,5002.6,22.36,2561.71,11.45,2816.76,12.59,1872.62,8.37,693.56,3.1,1861.43,8.32,1071.67,4.79,1389.36,6.21,1349.09,6.03,1754.04,7.84
Arunachal Pradesh,2015,21925,1736.46,7.92,4095.59,18.68,2729.66,12.45,3420.3,15.6,1383.47,6.31,333.26,1.52,1918.44,8.75,738.87,3.37,1789.08,8.16,1462.4,6.67,2317.47,10.57
Arunachal Pradesh,2016,25854,2166.57,8.38,5067.38,19.6,1931.29,7.47,3482.53,13.47,3174.87,12.28,1000.55,3.87,1923.54,7.44,1222.89,4.73,2500.08,9.67,1367.68,5.29,2016.61,7.8
Arunachal Pradesh,2017,27661,2915.47,10.54,5233.46,18.92,3435.5,12.42,4422.99,15.99,2680.35,9.69,821.53,2.97,2298.63,8.31,1040.05,3.76,1734.34,6.27,1416.24,5.12,1665.19,6.02
Arunachal Pradesh,2018,26492,3414.82,12.89,5192.43,19.6,2275.66,8.59,3141.95,11.86,1859.74,7.02,1218.63,4.6,1557.73,5.88,1488.85,5.62,2535.28,9.57,2254.47,8.51,1552.43,5.86
Arunachal Pradesh,2019,29525,3362.9,11.39,4561.61,15.45,2846.21,9.64,3463.28,11.73,3410.14,11.55,1231.19,4.17,2996.79,10.15,930.04,3.15,2140.56,7.25,1727.21,5.85,2852.11,9.66
Arunachal Pradesh,2020,31229,2754.4,8.82,4990.39,15.98,3775.59,12.09,4275.25,13.69,2829.35,9.06,712.02,2.28,2963.63,9.49,1258.53,4.03,2707.55,8.67,1648.89,5.28,3316.52,10.62
Arunachal Pradesh,2021,39053,3542.11,9.07,6307.06,16.15,3569.44,9.14,5686.12,14.56,4573.11,11.71,1605.08,4.11,3729.56,9.55,1124.73,2.88,2327.56,5.96,2589.21,6.63,3999.03,10.24
Arunachal Pradesh,2022,38726,2679.84,6.92,8287.36,21.4,5011.14,12.94,4701.34,12.14,4035.25,10.42,832.61,2.15,3899.71,10.07,1115.31,2.88,2629.5,6.79,3105.83,8.02,2424.25,6.26
Arunachal Pradesh,2023,40996,3870.02,9.44,6284.69,15.33,2906.62,7.09,6506.07,15.87,3345.27,8.16,2152.29,5.25,3177.19,7.75,1127.39,2.75,4177.49,10.19,3443.66,8.4,4009.41,9.78
Arunachal Pradesh,2024,47406,3730.85,7.87,8357.68,17.63,6570.47,13.86,8248.64,17.4,3460.64,7.3,1896.24,4.0,3792.48,8.0,1227.82,2.59,2626.29,5.54,2446.15,5.16,5044.0,10.64
Assam,1995,18180,1854.36,10.2,3452.38,18.99,1403.5,7.72,2501.57,13.76,1581.66,8.7,276.34,1.52,1481.67,8.15,1063.53,5.85,1416.22,7.79,834.46,4.59,2314.31,12.73
Assam,1996,19829,1130.25,5.7,3880.54,19.57,1832.2,9.24,2504.4,12.63,1957.12,9.87,777.3,3.92,1423.72,7.18,890.32,4.49,1824.27,9.2,914.12,4.61,2694.76,13.59
Assam,1997,19106,1536.12,8.04,3232.74,16.92,2722.61,14.25,2839.15,14.86,1587.71,8.31,550.25,2.88,1639.29,8.58,1127.25,5.9,1144.45,5.99,699.28,3.66,2027.15,10.61
Assam,1998,21995,2038.94,9.27,3961.3,18.01,2714.18,12.34,3622.58,16.47,1737.61,7.9,294.73,1.34,1757.4,7.99,1159.14,5.27,1227.32,5.58,1596.84,7.26,1887.17,8.58
Assam,1999,25468,2401.63,9.43,5445.06,21.38,1775.12,6.97,4637.72,18.21,2378.71,9.34,613.78,2.41,1377.82,5.41,848.08,3.33,1359.99,5.34,2195.34,8.62,2434.74,9.56
Assam,2000,29093,2574.73,8.85,4535.6,15.59,3793.73,13.04,3520.25,12.1,2504.91,8.61,1233.54,4.24,3078.04,10.58,1108.44,3.81,1661.21,5.71,1649.57,5.67,3435.88,11.81
Assam,2001,29992,3050.19,10.17,4654.76,15.52,4108.9,13.7,4162.89,13.88,2603.31,8.68,1310.65,4.37,2294.39,7.65,1529.59,5.1,2402.36,8.01,1154.69,3.85,2723.27,9.08
Assam,2002,32700,3041.1,9.3,5552.46,16.98,2390.37,7.31,5709.42,17.46,2805.66,8.58,1206.63,3.69,2632.35,8.05,1749.45,5.35,2324.97,7.11,1363.59,4.17,3927.27,12.01
Assam,2003,32317,3490.24,10.8,4682.73,14.49,4408.04,13.64,5791.21,17.92,2000.42,6.19,1082.62,3.35,2162.01,6.69,1635.24,5.06,2498.1,7.73,2530.42,7.83,2032.74,6.29
Assam,2004,36702,3905.09,10.64,5013.49,13.66,2554.46,6.96,6650.4,18.12,3193.07,8.7,1005.63,2.74,3196.74,8.71,1783.72,4.86,3141.69,8.56,3178.39,8.66,3079.3,8.39
Assam,2005,40804,3823.33,9.37,7642.59,18.73,4039.6,9.9,6846.91,16.78,3239.84,7.94,693.67,1.7,3982.47,9.76,1815.78,4.45,2876.68,7.05,2721.63,6.67,3117.43,7.64
Assam,2006,39871,3157.78,7.92,8632.07,21.65,3261.45,8.18,7144.88,17.92,3476.75,8.72,637.94,1.6,3847.55,9.65,1566.93,3.93,3536.56,8.87,2228.79,5.59,2380.3,5.97
Assam,2007,47140,4977.98,10.56,7419.84,15.74,4190.75,8.89,4803.57,10.19,4346.31,9.22,2069.45,4.39,4657.43,9.88,2333.43,4.95,4346.31,9.22,3130.1,6.64,4855.42,10.3
Assam,2008,48953,3549.09,7.25,8273.06,16.9,4028.83,8.23,9663.32,19.74,3460.98,7.07,1796.58,3.67,3940.72,8.05,2976.34,6.08,4190.38,8.56,3676.37,7.51,3402.23,6.95
Assam,2009,50755,5476.46,10.79,9283.09,18.29,4897.86,9.65,7983.76,15.73,5146.56,10.14,690.27,1.36,4999.37,9.85,2217.99,4.37,3273.7,6.45,3228.02,6.36,3557.93,7.01
Assam,2010,61667,6795.7,11.02,12469.07,20.22,4927.19,7.99,12358.07,20.04,5624.03,9.12,2929.18,4.75,3360.85,5.45,1862.34,3.02,3619.85,5.87,2873.68,4.66,4840.86,7.85
Assam,2011,64134,4835.7,7.54,13583.58,21.18,8343.83,13.01,10947.67,17.07,4630.47,7.22,2154.9,3.36,5002.45,7.8,1763.68,2.75,3860.87,6.02,3803.15,5.93,5207.68,8.12
Assam,2012,61938,7147.65,11.54,9030.56,14.58,7184.81,11.6,10294.1,16.62,6001.79,9.69,2638.56,4.26,5097.5,8.23,3350.85,5.41,3072.12,4.96,2378.42,3.84,5754.04,9.29
Assam,2013,73367,6881.82,9.38,14379.93,19.6,6683.73,9.11,11063.74,15.08,6316.9,8.61,2428.45,3.31,4600.11,6.27,4108.55,5.6,5003.63,6.82,5245.74,7.15,6647.05,9.06
Assam,2014,74575,5078.56,6.81,10940.15,14.67,7733.43,10.37,11357.77,15.23,5757.19,7.72,2699.61,3.62,5317.2,7.13,3982.3,5.34,6637.18,8.9,6159.9,8.26,8911.71,11.95
Assam,2015,78024,7287.44,9.34,16470.87,21.11,7685.36,9.85,12476.04,15.99,6741.27,8.64,1849.17,2.37,4767.27,6.11,3050.74,3.91,5890.81,7.55,5804.99,7.44,6000.05,7.69
Assam,2016,96952,7281.1,7.51,17024.77,17.56,11256.13,11.61,13078.82,13.49,10984.66,11.33,3102.46,3.2,8182.75,8.44,4362.84,4.5,6515.17,6.72,3848.99,3.97,11333.69,11.69
Assam,2017,97858,12232.25,12.5,15794.28,16.14,9198.65,9.4,10343.59,10.57,9198.65,9.4,4491.68,4.59,8954.01,9.15,4198.11,4.29,7574.21,7.74,7867.78,8.04,7995.0,8.17
Assam,2018,114141,12384.3,10.85,24312.03,21.3,10649.36,9.33,15774.29,13.82,11060.26,9.69,2225.75,1.95,9542.19,8.36,3127.46,2.74,8480.68,7.43,8537.75,7.48,8046.94,7.05
Assam,2019,125555,12806.61,10.2,18092.48,14.41,17615.37,14.03,16610.93,13.23,13359.05,10.64,3013.32,2.4,12944.72,10.31,6340.53,5.05,7144.08,5.69,7508.19,5.98,10094.62,8.04
Assam,2020,112178,8390.91,7.48,19642.37,17.51,11745.04,10.47,16467.73,14.68,11341.2,10.11,3600.91,3.21,7964.64,7.1,5418.2,4.83,6562.41,5.85,9826.79,8.76,11229.02,10.01
Assam,2021,127809,10071.35,7.88,25868.54,20.24,12601.97,9.86,19720.93,15.43,9381.18,7.34,4984.55,3.9,8422.61,6.59,5802.53,4.54,11426.12,8.94,7694.1,6.02,11835.11,9.26
Assam,2022,150974,15610.71,10.34,20517.37,13.59,14765.26,9.78,27945.29,18.51,15822.08,10.48,5918.18,3.92,12228.89,8.1,7382.63,4.89,11232.47,7.44,6537.17,4.33,13029.06,8.63
Assam,2023,158394,20321.95,12.83,26610.19,16.8,20670.42,13.05,17455.02,11.02,20607.06,13.01,2819.41,1.78,8648.31,5.46,6224.88,3.93,9757.07,6.16,12180.5,7.69,13130.86,8.29
Assam,2024,176096,22276.14,12.65,40871.88,23.21,22505.07,12.78,18842.27,10.7,12608.47,7.16,3592.36,2.04,12485.21,7.09,8840.02,5.02,13524.17,7.68,9438.75,5.36,11094.05,6.3
Bihar,1995,43740,3123.04,7.14,7015.9,16.04,5686.2,13.0,7532.03,17.22,4496.47,10.28,1683.99,3.85,3853.49,8.81,1412.8,3.23,2729.38,6.24,2860.6,6.54,3346.11,7.65
Bihar,1996,47677,3447.05,7.23,7690.3,16.13,4014.4,8.42,8486.51,17.8,4100.22,8.6,1277.74,2.68,5397.04,11.32,2731.89,5.73,3165.75,6.64,2169.3,4.55,5196.79,10.9
Bihar,1997,46294,4745.14,10.25,8777.34,18.96,6157.1,13.3,7610.73,16.44,3397.98,7.34,981.43,2.12,3990.54,8.62,1601.77,3.46,3041.52,6.57,2124.89,4.59,3870.18,8.36
Bihar,1998,47957,4085.94,8.52,10512.17,21.92,5893.92,12.29,5433.53,11.33,4824.47,10.06,1649.72,3.44,3112.41,6.49,2393.05,4.99,3654.32,7.62,3313.83,6.91,3088.43,6.44
Bihar,1999,53998,5399.8,10.0,7624.52,14.12,7208.73,13.35,5572.59,10.32,5372.8,9.95,2624.3,4.86,4179.45,7.74,3331.68,6.17,5205.41,9.64,3401.87,6.3,4076.85,7.55
Bihar,2000,64863,4475.55,6.9,11785.61,18.17,8678.67,13.38,6661.43,10.27,6012.8,9.27,1991.29,3.07,5824.7,8.98,3677.73,5.67,5844.16,9.01,2828.03,4.36,7076.55,10.91
Bihar,2001,60412,6083.49,10.07,12487.16,20.67,5316.26,8.8,8173.74,13.53,6615.11,10.95,2658.13,4.4,5896.21,9.76,3165.59,5.24,2760.83,4.57,3600.56,5.96,3660.97,6.06
Bihar,2002,76351,5367.48,7.03,16980.46,22.24,8184.83,10.72,11109.07,14.55,9009.42,11.8,3298.36,4.32,5894.3,7.72,2397.42,3.14,4138.22,5.42,3389.98,4.44,6581.46,8.62
Bihar,2003,71215,4436.69,6.23,13559.34,19.04,8773.69,12.32,10440.12,14.66,7313.78,10.27,1274.75,1.79,6893.61,9.68,3902.58,5.48,6081.76,8.54,4208.81,5.91,4322.75,6.07
Bihar,2004,83388,6329.15,7.59,13642.28,16.36,8572.29,10.28,11766.05,14.11,7429.87,8.91,2017.99,2.42,9164.34,10.99,5728.76,6.87,6145.7,7.37,6946.22,8.33,5645.37,6.77
Bihar,2005,90060,9510.34,10.56,13148.76,14.6,6970.64,7.74,12491.32,13.87,8402.6,9.33,2999.0,3.33,10131.75,11.25,4908.27,5.45,6259.17,6.95,4142.76,4.6,11086.39,12.31
Bihar,2006,90654,9165.12,10.11,14794.73,16.32,7134.47,7.87,11096.05,12.24,10506.8,11.59,3390.46,3.74,7306.71,8.06,4387.65,4.84,7071.01,7.8,6191.67,6.83,9609.32,10.6
Bihar,2007,95867,7247.55,7.56,20640.17,21.53,13785.67,14.38,10727.52,11.19,8973.15,9.36,3853.85,4.02,5445.25,5.68,4582.44,4.78,5272.69,5.5,6442.26,6.72,8896.46,9.28
Bihar,2008,111246,8321.2,7.48,20435.89,18.37,13305.02,11.96,13750.01,12.36,9289.04,8.35,4238.47,3.81,6852.75,6.16,5439.93,4.89,11135.72,10.01,7408.98,6.66,11057.85,9.94
Bihar,2009,117767,7419.32,6.3,21421.82,18.19,15839.66,13.45,20515.01,17.42,10387.05,8.82,5134.64,4.36,11494.06,9.76,5546.83,4.71,6218.1,5.28,6512.52,5.53,7289.78,6.19
Bihar,2010,141320,15771.31,11.16,18922.75,13.39,19318.44,13.67,13821.1,9.78,11786.09,8.34,5539.74,3.92,13114.5,9.28,8253.09,5.84,11022.96,7.8,7843.26,5.55,15926.76,11.27
Bihar,2011,135976,14372.66,10.57,28351.0,20.85,11993.08,8.82,21144.27,15.55,13053.7,9.6,4120.07,3.03,11421.98,8.4,4772.76,3.51,7397.09,5.44,8090.57,5.95,11245.22,8.27
Bihar,2012,157343,13437.09,8.54,24545.51,15.6,11643.38,7.4,23428.37,14.89,18881.16,12.0,5931.83,3.77,15026.26,9.55,10085.69,6.41,11250.02,7.15,9881.14,6.28,13232.55,8.41
Bihar,2013,176404,19669.05,11.15,27201.5,15.42,24608.36,13.95,26160.71,14.83,20357.02,11.54,8414.47,4.77,9402.33,5.33,6033.02,3.42,10143.23,5.75,7214.92,4.09,17181.75,9.74
Bihar,2014,181777,12288.13,6.76,39972.76,21.99,18523.08,10.19,23376.52,12.86,14433.09,7.94,8507.16,4.68,10143.16,5.58,8307.21,4.57,12215.41,6.72,14833.0,8.16,19159.3,10.54
Bihar,2015,181218,18429.87,10.17,37783.95,20.85,16708.3,9.22,24011.38,13.25,13192.67,7.28,6868.16,3.79,11779.17,6.5,6686.94,3.69,9785.77,5.4,15657.24,8.64,20296.42,11.2
Bihar,2016,220180,20939.12,9.51,37034.28,16.82,21687.73,9.85,40381.01,18.34,24858.32,11.29,7706.3,3.5,20300.6,9.22,7574.19,3.44,14509.86,6.59,9203.52,4.18,15985.07,7.26
Bihar,2017,231189,20090.32,8.69,48133.55,20.82,19119.33,8.27,36759.05,15.9,24297.96,10.51,10056.72,4.35,18333.29,7.93,13177.77,5.7,16761.2,7.25,9524.99,4.12,14934.81,6.46
Bihar,2018,223527,22218.58,9.94,49153.59,21.99,28991.45,12.97,23179.75,10.37,22866.81,10.23,4157.6,1.86,14171.61,6.34,10662.24,4.77,17010.4,7.61,17211.58,7.7,13925.73,6.23
Bihar,2019,269659,27073.76,10.04,48107.17,17.84,25671.54,9.52,45922.93,17.03,20440.15,7.58,11891.96,4.41,12539.14,4.65,14777.31,5.48,24107.51,8.94,10651.53,3.95,28502.96,10.57
Bihar,2020,277363,22078.09,7.96,54973.35,19.82,21967.15,7.92,52338.4,18.87,26515.9,9.56,11371.88,4.1,20164.29,7.27,12287.18,4.43,18583.32,6.7,13840.41,4.99,23270.76,8.39
Bihar,2021,299552,20788.91,6.94,68807.09,22.97,29775.47,9.94,52870.93,17.65,34388.57,11.48,7578.67,2.53,21807.39,7.28,13270.15,4.43,17553.75,5.86,12850.78,4.29,19830.34,6.62
Bihar,2022,352633,36568.04,10.37,65096.05,18.46,26905.9,7.63,47147.03,13.37,30573.28,8.67,15515.85,4.4,28810.12,8.17,17561.12,4.98,29868.02,8.47,17843.23,5.06,36779.62,10.43
Bihar,2023,380844,40559.89,10.65,72169.94,18.95,29096.48,7.64,67637.89,17.76,27535.02,7.23,14891.0,3.91,30315.18,7.96,22355.54,5.87,29058.4,7.63,26240.15,6.89,20946.42,5.5
Bihar,2024,343388,38013.05,11.07,74686.89,21.75,38013.05,11.07,55422.82,16.14,27745.75,8.08,13872.88,4.04,20259.89,5.9,16173.57,4.71,15864.53,4.62,19710.47,5.74,23556.42,6.86
Chhattisgarh,1995,16830,1645.97,9.78,3350.85,19.91,1881.59,11.18,2670.92,15.87,1129.29,6.71,594.1,3.53,912.19,5.42,806.16,4.79,1144.44,6.8,1551.73,9.22,1142.76,6.79
